Date,Value
5/31/2021,223.88445
4/30/2021,220.0918558
3/31/2021,216.4980706
2/28/2021,214.1695029
1/31/2021,213.3369334
12/31/2020,212.6428154
11/30/2020,211.1212818
10/31/2020,209.0429445
9/30/2020,206.9050078
8/31/2020,204.2291357
7/31/2020,200.8612531
6/30/2020,198.2590179
5/31/2020,197.1450221
4/30/2020,196.4278462
3/31/2020,194.8632533
2/29/2020,192.9669246
1/31/2020,192.0521285
12/31/2019,191.898718
11/30/2019,191.7824794
10/31/2019,191.9408298
9/30/2019,192.7633224
8/31/2019,193.2799132
7/31/2019,192.8688098
6/30/2019,191.5442279
5/31/2019,189.375679
4/30/2019,187.2158156
3/31/2019,185.8008437
2/28/2019,185.6108766
1/31/2019,186.0228385
12/31/2018,186.250011
11/30/2018,186.4630313
10/31/2018,186.6157911
9/30/2018,186.9320215
8/31/2018,187.3984011
7/31/2018,186.9134484
6/30/2018,184.9820864
5/31/2018,182.589687
4/30/2018,180.690163
3/31/2018,179.2074402
2/28/2018,178.2458511
1/31/2018,178.10914
12/31/2017,178.0471341
11/30/2017,177.6668524
10/31/2017,177.3755221
9/30/2017,177.4218242
8/31/2017,177.4611634
7/31/2017,176.7460183
6/30/2017,174.9971376
5/31/2017,172.4661494
4/30/2017,170.030116
3/31/2017,168.1308989
2/28/2017,167.0531179
1/31/2017,167.0597158
12/31/2016,167.4141316
11/30/2016,167.2502242
10/31/2016,167.3595477
9/30/2016,168.0934063
8/31/2016,168.0281469
7/31/2016,167.0488464
6/30/2016,165.3719253
5/31/2016,162.9332126
4/30/2016,160.6443305
3/31/2016,159.4525689
2/29/2016,159.2428751
1/31/2016,159.1921734
12/31/2015,159.4381658
11/30/2015,159.8255646
10/31/2015,160.316484
9/30/2015,161.1457297
8/31/2015,161.4841361
7/31/2015,160.908428
6/30/2015,159.4497492
5/31/2015,157.4936128
4/30/2015,155.8518072
3/31/2015,154.8900947
2/28/2015,154.3953694
1/31/2015,154.2387643
12/31/2014,154.4495093
11/30/2014,155.0037287
10/31/2014,155.5243513
9/30/2014,156.0567083
8/31/2014,156.7200802
7/31/2014,156.7240122
6/30/2014,155.6789038
5/31/2014,154.2035763
4/30/2014,152.8343248
3/31/2014,151.8494977
2/28/2014,151.5818424
1/31/2014,151.6545468
12/31/2013,151.8673627
11/30/2013,152.2638853
10/31/2013,152.601866
9/30/2013,153.0602053
8/31/2013,153.6343073
7/31/2013,153.2868384
6/30/2013,151.3403955
5/31/2013,148.8473746
4/30/2013,147.0407826
3/31/2013,146.4254816
2/28/2013,146.62157
1/31/2013,146.6883714
12/31/2012,146.7941376
11/30/2012,147.1482183
10/31/2012,147.6396595
9/30/2012,148.348739
8/31/2012,148.8710941
7/31/2012,148.9279387
6/30/2012,148.0711699
5/31/2012,146.4576333
4/30/2012,145.0243916
3/31/2012,144.0808746
2/29/2012,143.7956404
1/31/2012,144.2206867
12/31/2011,145.187446
11/30/2011,146.5344883
10/31/2011,148.0447707
9/30/2011,149.4144223
8/31/2011,150.2230283
7/31/2011,150.1402316
6/30/2011,149.2369539
5/31/2011,148.1945032
4/30/2011,147.8576602
3/31/2011,148.1115292
2/28/2011,148.620465
1/31/2011,149.3351808
12/31/2010,150.0632944
11/30/2010,150.9991442
10/31/2010,151.7393989
9/30/2010,152.4095385
8/31/2010,153.6127146
7/31/2010,154.6498282
6/30/2010,154.5781047
5/31/2010,153.8012341
4/30/2010,153.0327274
3/31/2010,152.400469
2/28/2010,152.0297896
1/31/2010,152.0356526
12/31/2009,152.7409733
11/30/2009,153.7297581
10/31/2009,154.4389851
9/30/2009,154.9017865
8/31/2009,155.1213944
7/31/2009,155.1098403
6/30/2009,154.5751708
5/31/2009,153.651053
4/30/2009,152.7502689
3/31/2009,152.3761551
2/28/2009,153.0302379
1/31/2009,154.7648826
12/31/2008,156.9673053
11/30/2008,158.8229619
10/31/2008,160.3004955
9/30/2008,161.7940523
8/31/2008,163.35089
7/31/2008,164.1981078
6/30/2008,163.8389316
5/31/2008,162.9089983
4/30/2008,161.9952606
3/31/2008,161.399527
2/29/2008,161.8350829
1/31/2008,163.1719034
12/31/2007,164.8313566
11/30/2007,166.4200533
10/31/2007,167.8462716
9/30/2007,168.918597
8/31/2007,169.5637151
7/31/2007,169.730375
6/30/2007,169.165622
5/31/2007,168.3685378
4/30/2007,167.3974583
3/31/2007,165.8566364
2/28/2007,164.417211
1/31/2007,164.1537869
12/31/2006,165.5678883
11/30/2006,167.6506499
10/31/2006,169.0446741
9/30/2006,169.8531338
8/31/2006,170.4329587
7/31/2006,170.6703667
6/30/2006,170.0530642
5/31/2006,168.4656027
4/30/2006,166.4858508
3/31/2006,165.1344167
2/28/2006,164.9607589
1/31/2006,165.4756887
12/31/2005,165.9348338
11/30/2005,166.0221448
10/31/2005,165.7309288
9/30/2005,165.2682323
8/31/2005,164.8018971
7/31/2005,163.8863444
6/30/2005,161.7152084
5/31/2005,158.917017
4/30/2005,156.1371954
3/31/2005,153.8280946
2/28/2005,152.9338075
1/31/2005,152.8696013
12/31/2004,152.7119943
11/30/2004,152.3894857
10/31/2004,151.8917412
9/30/2004,151.3619782
8/31/2004,150.7336394
7/31/2004,149.4937299
6/30/2004,147.1713393
5/31/2004,143.9790206
4/30/2004,140.9232721
3/31/2004,139.1122911
2/29/2004,138.4398942
1/31/2004,137.9228375
12/31/2003,137.3083937
11/30/2003,136.8807332
10/31/2003,136.5784675
9/30/2003,135.9722078
8/31/2003,134.7586792
7/31/2003,132.9698899
6/30/2003,130.8948159
5/31/2003,129.0545878
4/30/2003,127.5726376
3/31/2003,126.3390278
2/28/2003,125.6206471
1/31/2003,125.2097976
12/31/2002,124.5763727
11/30/2002,123.605471
10/31/2002,122.5258995
9/30/2002,121.7889314
8/31/2002,121.0873436
7/31/2002,119.5278394
6/30/2002,117.3810778
5/31/2002,115.2938536
4/30/2002,113.3240549
3/31/2002,111.6797279
2/28/2002,110.797306
1/31/2002,110.240611
12/31/2001,109.8038709
11/30/2001,109.5655585
10/31/2001,109.0227245
9/30/2001,108.4205279
8/31/2001,107.7898257
7/31/2001,106.7650928
6/30/2001,105.2625261
5/31/2001,103.5305615
4/30/2001,102.141697
3/31/2001,101.1578595
2/28/2001,100.4654368
1/31/2001,100.1249377
12/31/2000,100
11/30/2000,99.74337531
10/31/2000,99.32278803
9/30/2000,98.94832152
8/31/2000,98.6162036
7/31/2000,98.07724582
6/30/2000,96.90311915
5/31/2000,95.29282427
4/30/2000,93.79541462
3/31/2000,92.63358128
2/29/2000,92.08487421
1/31/2000,92.02202645
12/31/1999,91.69303724
11/30/1999,91.05615854
10/31/1999,90.7791548
9/30/1999,90.86043114
8/31/1999,90.45673578
7/31/1999,89.35831227
6/30/1999,88.01006723
5/31/1999,86.6775277
4/30/1999,85.62108801
3/31/1999,84.83453846
2/28/1999,84.38146392
1/31/1999,84.14574382
12/31/1998,83.90013296
11/30/1998,83.44571924
10/31/1998,83.09857037
9/30/1998,83.24540926
8/31/1998,83.33574846
7/31/1998,82.96254486
6/30/1998,82.07079323
5/31/1998,80.8101922
4/30/1998,79.69827533
3/31/1998,79.07953994
2/28/1998,78.98870737
1/31/1998,79.06683006
12/31/1997,79.0213373
11/30/1997,78.91444795
10/31/1997,78.866434
9/30/1997,79.14628731
8/31/1997,79.59345872
7/31/1997,79.67126116
6/30/1997,79.18178016
5/31/1997,78.44943066
4/30/1997,77.74068517
3/31/1997,77.22407459
2/28/1997,77.03928735
1/31/1997,77.1075542
12/31/1996,77.36725354
11/30/1996,77.68054864
10/31/1996,77.98532003
9/30/1996,78.26911222
8/31/1996,78.39536972
7/31/1996,78.33886214
6/30/1996,77.82041881
5/31/1996,76.8810822
4/30/1996,76.20427281
3/31/1996,76.15606326
2/29/1996,76.28665884
1/31/1996,76.25489179
12/31/1995,76.33148245
11/30/1995,76.47995377
10/31/1995,76.60781572
9/30/1995,76.92287025
8/31/1995,77.16549234
7/31/1995,77.0890573
6/30/1995,76.85984741
5/31/1995,76.60460132
4/30/1995,76.37677305
3/31/1995,76.31024061
2/28/1995,76.4311063
1/31/1995,76.54415193
12/31/1994,76.79671174
11/30/1994,77.19866163
10/31/1994,77.43276313
9/30/1994,77.64430138
8/31/1994,78.10725381
7/31/1994,78.32720061
6/30/1994,77.90494549
5/31/1994,77.13868959
4/30/1994,76.51753997
3/31/1994,76.49614324
2/28/1994,76.71466723
1/31/1994,76.74175084
12/31/1993,76.83012389
11/30/1993,77.05011666
10/31/1993,77.16458861
9/30/1993,77.44554403
8/31/1993,77.90821356
7/31/1993,77.9937816
6/30/1993,77.74510709
5/31/1993,77.47812551
4/30/1993,77.30077001
3/31/1993,77.27626623
2/28/1993,77.51616109
1/31/1993,77.9706773
12/31/1992,78.56487592
11/30/1992,78.87572784
10/31/1992,78.61365641
9/30/1992,78.32334106
8/31/1992,78.33346466
7/31/1992,78.43596649
6/30/1992,78.46809449
5/31/1992,78.50840406
4/30/1992,78.61156519
3/31/1992,78.56001898
2/29/1992,78.32953105
1/31/1992,78.09563035
12/31/1991,78.0420506
11/30/1991,78.0440681
10/31/1991,78.0630115
9/30/1991,78.26284177
8/31/1991,78.4105165
7/31/1991,78.50911269
6/30/1991,78.38998477
5/31/1991,78.08725724
4/30/1991,78.0162599
3/31/1991,78.18358365
2/28/1991,78.52172319
1/31/1991,78.82831968
12/31/1990,78.96441282
11/30/1990,79.0693019
10/31/1990,79.44027963
9/30/1990,80.06638569
8/31/1990,80.61735317
7/31/1990,80.92197444
6/30/1990,81.02069088
5/31/1990,80.97503857
4/30/1990,80.95767731
3/31/1990,81.15317206
2/28/1990,81.43851238
1/31/1990,81.57595536
12/31/1989,81.66464891
11/30/1989,81.808906
10/31/1989,81.88113929
9/30/1989,81.95490183
8/31/1989,82.16693869
7/31/1989,82.17042002
6/30/1989,81.87493158
5/31/1989,81.6073888
4/30/1989,81.37703505
3/31/1989,81.21757968
2/28/1989,81.1193813
1/31/1989,80.94484006
12/31/1988,80.85622235
11/30/1988,80.93541916
10/31/1988,80.98097758
9/30/1988,81.02130632
8/31/1988,81.03587782
7/31/1988,80.89466756
6/30/1988,80.45859438
5/31/1988,79.7149266
4/30/1988,78.98427493
3/31/1988,78.46130267
2/29/1988,78.16706621
1/31/1988,78.02912157
12/31/1987,77.84379816
11/30/1987,77.48962675
10/31/1987,77.00915738
9/30/1987,76.51634068
8/31/1987,75.9665484
7/31/1987,75.30709239
6/30/1987,74.30019464
5/31/1987,72.96618747
4/30/1987,71.81201318
3/31/1987,70.78785395
2/28/1987,69.87863302
1/31/1987,69.30579828
12/31/1986,68.71213778
11/30/1986,67.80513921
10/31/1986,66.77065241
9/30/1986,65.7170744
8/31/1986,65.07145429
7/31/1986,64.31717287
6/30/1986,63.24593865
5/31/1986,62.26027382
4/30/1986,61.08953225
3/31/1986,60.09189674
2/28/1986,59.30909949
1/31/1986,58.55010483
12/31/1985,57.58539954
11/30/1985,56.61478639
10/31/1985,55.89655739
9/30/1985,55.58390253
8/31/1985,55.34469345
7/31/1985,54.47120736
6/30/1985,53.29396923
5/31/1985,52.34560132
4/30/1985,51.67095368
3/31/1985,51.0090884
2/28/1985,50.33160071
1/31/1985,49.67502027
12/31/1984,49.05866955
11/30/1984,48.54132994
10/31/1984,48.06752148
9/30/1984,47.63286848
8/31/1984,47.27414491
7/31/1984,46.75944385
6/30/1984,45.88306932
5/31/1984,44.85326542
4/30/1984,43.94554885
3/31/1984,43.24429439
2/29/1984,42.7899108
1/31/1984,42.53855634
12/31/1983,42.26292592
11/30/1983,41.78675758
10/31/1983,41.15285086
9/30/1983,40.5414656
8/31/1983,39.99561093
7/31/1983,39.39939363
6/30/1983,38.72894489
5/31/1983,38.13733257
4/30/1983,37.74131391
3/31/1983,37.47705697
2/28/1983,37.2316221
1/31/1983,36.88975423
12/31/1982,36.481861
11/30/1982,36.0926011
10/31/1982,35.72403449
9/30/1982,35.46248296
8/31/1982,35.34561563
7/31/1982,35.25481677
6/30/1982,35.03675402
5/31/1982,34.63353107
4/30/1982,34.12214635
3/31/1982,33.69232554
2/28/1982,33.49574773
1/31/1982,33.51646255
12/31/1981,33.69516396
11/30/1981,33.97343926
10/31/1981,34.21080788
9/30/1981,34.23367239
8/31/1981,33.95115447
7/31/1981,33.39489763
6/30/1981,32.81474871
5/31/1981,32.46024091
4/30/1981,32.29587676
3/31/1981,32.14338484
2/28/1981,31.92465631
1/31/1981,31.70914443
12/31/1980,31.51891459
11/30/1980,31.30760676
10/31/1980,31.10827725
9/30/1980,30.91614724
8/31/1980,30.64099144
7/31/1980,30.24979308
6/30/1980,29.83081746
5/31/1980,29.48713889
4/30/1980,29.23424045
3/31/1980,29.06209286
2/29/1980,28.96264856
1/31/1980,28.91823374
12/31/1979,28.86717634
11/30/1979,28.72207531
10/31/1979,28.53582494
9/30/1979,28.38510146
8/31/1979,28.20307504
7/31/1979,27.91264295
6/30/1979,27.58711833
5/31/1979,27.3721508
4/30/1979,27.22104245
3/31/1979,27.07655039
2/28/1979,27.05046117
1/31/1979,27.10532669
12/31/1978,27.0963096
11/30/1978,27.02577755
10/31/1978,26.89943746
9/30/1978,26.68559584
8/31/1978,26.41150201
7/31/1978,26.11188118
6/30/1978,25.7567557
5/31/1978,25.388844
4/30/1978,25.14653408
3/31/1978,25.10728635
